time,Average speed (km/h),Barometric pressure (kPa),Calculated boost (bar),Calculated engine load value (%),Distance travelled (km),Distance travelled (total) (km),Engine coolant temperature (℃),Engine RPM (rpm),Engine RPM x1000 (rpm),Intake manifold absolute pressure (kPa),Long term fuel % trim - Bank 1 (%),OBD Module Voltage (V),Short term fuel % trim - Bank 1 (%),Vehicle acceleration (g),Vehicle speed (km/h)
0,0.000000,101.300726,-0.466793,15.157967,0.000000,0.000000,20.116667,862.012995,0.862013,54.621387,2.635456,13.847787,0.542098,0.000000,0.000000
1,0.000000,100.768068,-0.461153,16.984493,0.000000,0.000000,20.233333,886.447164,0.886447,54.652759,2.358430,13.808258,-1.985003,0.000000,0.000000
2,0.000000,101.392695,-0.464059,15.521898,0.000000,0.000000,20.350000,852.828056,0.852828,54.986773,1.901797,14.200046,-1.253144,0.000000,0.000000
3,0.000000,101.540971,-0.469723,16.348849,0.000000,0.000000,20.466667,843.536041,0.843536,54.568718,0.625208,13.511684,-1.130332,0.000000,0.000000
4,0.000000,101.935117,-0.471168,12.164961,0.000000,0.000000,20.583333,837.260097,0.837260,54.818287,0.791385,14.063745,0.583765,0.000000,0.000000
5,0.000000,101.236696,-0.469802,15.222919,0.000000,0.000000,20.700000,870.067074,0.870067,54.256500,0.877208,13.748518,-0.681099,0.000000,0.000000
6,0.000000,101.087902,-0.448042,17.905276,0.000000,0.000000,20.816667,844.904718,0.844905,56.283733,-1.520172,13.633328,1.617744,0.000000,0.000000
7,0.000000,101.452711,-0.440940,19.289868,0.000000,0.000000,20.933333,878.765673,0.878766,57.358729,-2.041942,13.886973,2.865544,0.000000,0.000000
8,0.000000,101.006350,-0.456294,16.702865,0.000000,0.000000,21.050000,848.110390,0.848110,55.376904,1.438106,13.526346,-2.063467,0.000000,0.000000
9,0.000000,101.673410,-0.456409,18.856760,0.000000,0.000000,21.166667,812.557279,0.812557,56.032498,-1.598732,13.726033,0.603121,0.000000,0.000000
10,0.000000,101.640094,-0.463286,19.867698,0.000000,0.000000,21.283333,851.518872,0.851519,55.311515,-1.681521,13.349542,2.131661,0.000000,0.000000
11,0.000000,100.980770,-0.472814,16.805002,0.000000,0.000000,21.400000,897.831192,0.897831,53.699341,-1.755383,13.733618,0.294027,0.000000,0.000000
12,0.000000,100.928386,-0.426358,19.052724,0.000000,0.000000,21.516667,893.859658,0.893860,58.292620,1.681835,13.848970,-2.893793,0.000000,0.000000
13,0.000000,101.502947,-0.469391,15.709268,0.000000,0.000000,21.633333,879.765657,0.879766,54.563807,1.975808,13.385790,0.096955,0.000000,0.000000
14,0.000000,100.816292,-0.485850,12.720848,0.000000,0.000000,21.750000,833.498245,0.833498,52.231294,0.976985,13.959912,-3.284587,0.000000,0.000000
15,0.000000,101.822037,-0.476385,12.379565,0.000000,0.000000,21.866667,823.642142,0.823642,54.183587,0.343217,14.304055,-1.521364,0.000000,0.000000
16,0.000000,101.575189,-0.465960,16.637845,0.000000,0.000000,21.983333,848.703676,0.848704,54.979194,1.090610,13.973485,0.098976,0.000000,0.000000
17,0.000000,101.637485,-0.468385,12.248005,0.000000,0.000000,22.100000,869.693918,0.869694,54.799022,0.040383,13.875427,0.782285,0.000000,0.000000
