time,# warm-ups since codes cleared (),Absolute pedal position D (%),Absolute pedal position E (%),Absolute throttle position B (%),Average fuel consumption (L/100km),Average fuel consumption (total) (L/100km),Average fuel consumption 10 sec (L/100km),Average speed (km/h),Barometric pressure (kPa),Calculated boost (bar),Calculated engine load value (%),Calculated instant fuel consumption (L/100km),Calculated instant fuel rate (L/h),Commanded evaporative purge (%),Commanded throttle actuator (%),Control module voltage (V),Distance traveled since codes cleared (km),Distance traveled with MIL on (km),Distance travelled (km),Distance travelled (total) (km),Engine coolant temperature (℃),Engine fuel rate (L/h),Engine Fuel Rate (g/sec),Engine RPM (rpm),Engine RPM x1000 (rpm),Fuel economizer (based on fuel system status and throttle position) (),Fuel used (L),Fuel used (total) (L),Fuel used price ($),Fuel used price (total) ($),Fuel/Air commanded equivalence ratio (),Instant engine power (based on fuel consumption) (hp),Intake air temperature (℃),Intake manifold absolute pressure (kPa),Long term fuel % trim - Bank 1 (%),OBD Module Voltage (V),Oxygen sensor 1 Wide Range Current (mA) (mA),Oxygen sensor 1 Wide Range Equivalence ratio (),Oxygen sensor 2 Bank 1 Short term fuel trim (%),Oxygen sensor 2 Bank 1 Voltage (V),Short term fuel % trim - Bank 1 (%),Throttle position (%),Timing advance (°),Vehicle acceleration (g),Vehicle Fuel Rate (g/sec),Vehicle speed (km/h),Unnamed: 47
16:11:27.699,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
16:11:38.676,,,,,,,,,,,0.0,,,,,,,,,,70.0,,,0.0,0.0,,,,,,,,,,-2.34375,12.4,,,,,0.0,,,,,0.0,
16:11:40.431,,,,,,,,,,,0.0,,,,,,,,,,70.0,,,0.0,0.0,,,,,,,,,,-2.34375,12.4,,,,,0.0,,,,,0.0,
16:11:42.110,,,,,,,,,,,0.0,,,,,,,,,,70.0,,,0.0,0.0,,,,,,,,,,-2.34375,12.4,,,,,0.0,,,,,0.0,
16:11:43.659,,,,,,,,,,,0.0,,,,,,,,,,70.0,,,0.0,0.0,,,,,,,,,,-2.34375,12.4,,,,,0.0,,,,,0.0,
16:11:45.093,,,,,,,,,,,0.0,,,,,,,,,,70.0,,,0.0,0.0,,,,,,,,,,-2.34375,12.4,,,,,0.0,,,,,0.0,
16:11:46.458,,,,,,,,,,,0.0,,,,,,,,,,70.0,,,0.0,0.0,,,,,,,,,,-2.34375,12.4,,,,,0.0,,,,,0.0,
16:11:48.165,,,,,,,,,,,0.0,,,,,,,,,,70.0,,,0.0,0.0,,,,,,,,,,-2.34375,12.4,,,,,0.0,,,,,0.0,
16:11:49.641,,,,,,,,,,,0.0,,,,,,,,,,70.0,,,0.0,0.0,,,,,,,,,,-2.34375,12.4,,,,,0.0,,,,,0.0,
16:11:51.133,,,,,,,,,,,0.0,,,,,,,,,,70.0,,,0.0,0.0,,,,,,,,,,-2.34375,12.4,,,,,0.0,,,,,0.0,
16:11:52.892,,,,,,,,,,,0.0,,,,,,,,,,70.0,,,0.0,0.0,,,,,,,,,,-2.34375,12.4,,,,,0.0,,,,,0.0,
